selected,authors,title,url,conf,code,slides,comments,tags
TRUE,"Hamed Nilforoshan, Jiannan Wang, Eugene Wu",PreCog: Improving Crowdsourced Data Quality Before Acquisition,https://arxiv.org/abs/1704.02384,Arxiv 2017,,,,crowd
TRUE,"Haoci Zhang, Thibault Sellam, Eugene Wu",Precision Interfaces,https://arxiv.org/abs/1704.03022,HILDA 2017,,,,vis
TRUE,"Sanjay Krishnan, Eugene Wu",PALM: Machine Learning Explanations For Iterative Debugging,,HILDA 2017,,,,"ml,explain"
TRUE,"Hamed Nilforoshan, James Sands, Kevin Lin, Rahul Khanna, Eugene Wu",Segment-Predict-Explain for Automatic Writing Feedback,https://www.dropbox.com/s/52knots6len7ykt/dialectic-ci17.pdf?dl=0,Collective Intelligence 2017,,,,"ml,crowd"
,"Hamed Nilforoshan, James Sands, Kevin Lin, Rahul Khanna, Eugene Wu",Dialectic: Enhancing Text Input Fields with Automatic Feedback to Improve Social Content Writing Quality,https://arxiv.org/abs/1701.06718,In Submission,,,,crowd
TRUE,"Liwen Sun, Michael J. Franklin, Jiannan Wang, Eugene Wu",Skipping-oriented Partitioning for Columnar Layouts,https://www.dropbox.com/s/zsxuq955s466o70/skipping-vldb2017.pdf?dl=0,VLDB 2017,,,,db
TRUE,"Eugene Wu, Fotis Psallidas, Zhengjie Miao, Haoci Zhang,Laura Rettig, Yifan Wu, Thibault Sellam",Combining Design and Performance in a Data Visualization Management System,https://www.dropbox.com/s/0rdjsv7m7wbhmlk/cidr17-camera.pdf?dl=0,CIDR 2017,,,,vis
,Eugene Wu,CIDR: Chat-oriented Innovations in Database Research,https://www.dropbox.com/s/yeojaciedsktp77/cidr17abstract.pdf?dl=0,CIDR 2017 Abstract,,,,misc
TRUE,"Xiaolan Wang, Alexandra Meliou, Eugene Wu",QFix: Diagnosing errors through query histories,http://sirrice.github.io/files/papers/qfix-sigmod17.pdf,SIGMOD 2017,,,,explain
,"Yifan Wu, Joe Hellerstein, Eugene Wu",A DeVIL-ish Approach to Inconsistency in Interactive Visualizations,http://sirrice.github.io/files/papers/devil-hilda16.pdf,Hilda 2016,,,,vis
